country,ALL,<15yr,15-24yr,25-49yr,50-64yr,65-79yr,80+yr
Latvia,1900449.0,312282.0565155797,157261.93189837842,640603.3600481908,397150.29787140735,285053.9695820803,108097.38408436342
Liechtenstein,38137.0,,,,,,
Lithuania,2794885.0,432591.0528867226,262627.4444163596,900085.6893156592,623331.3343085744,399897.9247165726,176351.55435611153
Luxembourg,630419.0,98078.2251329715,74782.0407137149,240307.61397854268,126528.73532666176,65677.87797571444,25044.50687239466
Malta,525285.0,,,,,,
Moldova,2620495.0,416352.00724576093,288123.27010514284,1082506.2603666955,506135.65367756324,269686.7583785232,57691.0502263145
Monaco,39244.0,,,,,,
Montenegro,621306.0,112112.89323500707,79550.96883406374,212883.13284303574,118782.37695968038,76793.9605556766,21182.66757253663
Netherlands,17441500.0,2738608.5875140945,2073186.2569165286,5421002.915748928,3714328.041880455,2642524.4050039304,851849.7929360641
North Macedonia,2072531.0,338033.5065181277,250184.36788632045,774512.684299393,409752.086754171,248164.94450700536,51883.4100349824
Norway,5379475.0,928341.2265786191,669873.0106027534,1822616.9419979798,1015804.1523796644,715862.942012447,226976.72642853716
Poland,37899070.0,5767368.970026065,3705734.978098975,14025354.787805416,7298531.610959565,5356828.64275234,1745251.0103576407
Portugal,10297081.0,1344177.7982263975,1075484.625458179,3357815.3549859254,2174724.805845002,1655759.0198042092,689119.3956802872
Romania,19257520.0,2988886.984460444,2006488.9730453654,6695652.487448441,3863097.542477791,2779119.883468168,924274.1290997908
Russian Federation,144104080.0,26460769.81771852,13524683.292072875,53161712.01375037,28607917.19496151,16764524.498985454,5584473.182511305
San Marino,33938.0,,,,,,
Serbia,6899126.0,1060197.6603753995,822804.1833435737,2383106.1008155597,1318147.0814714027,1045681.4351203825,269189.53887368354
Slovak Republic,5458827.0,849041.088256812,553540.2588339709,2073773.0194978535,1070894.918693442,731974.5702865638,179603.1444313578
Slovenia,2102419.0,318232.1072008989,190312.05778082483,706040.4843446559,451842.72547049297,320422.567706021,115569.05749710611
Spain,47363419.0,6820081.355018823,4552533.598737232,16413095.843601186,10115627.240568556,6500178.502727951,2961902.459346243
Sweden,10353442.0,1824646.1791611328,1112318.8895790502,3401060.38564496,1910686.4278181677,1559258.0343876986,545472.0834089903
Switzerland,8636561.0,1291912.9192742698,907486.6621775314,2935218.1580437133,1852571.7140166545,1191114.6590308878,458256.8874569434
Tajikistan,9537642.0,3554688.0000000005,1645092.0,3087449.0,947140.0000000002,259246.0000000003,44027.0
Turkey,84339067.0,20192508.000000007,13591930.0,30625454.000000004,12354623.0,6099771.000000001,1474781.0000000002
Turkmenistan,6031187.0,1857113.0000000005,946097.0,2203960.0,736453.0,236908.00000000026,50656.00000000012
Ukraine,44134693.0,7057365.430559533,4163644.9208946945,16517859.66503657,8915371.143592661,5646940.637079168,1833511.2028373752
United Kingdom,67215293.0,11881832.564733462,7684096.871674249,22162195.47549621,12949266.132120032,9121377.898948189,3416524.057027865
Uzbekistan,34232050.0,9858847.47450949,5438973.910168386,12961182.06786383,4333721.687283771,1374012.4538774397,265312.406297078
